rowNumber,safetyClass,recommendedEnrichmentAction,decisionNeeded,enrichmentTypes,roiGroup,provider,category,title,formats,bestMatchScore,targetEvidence,targetIds,detectedFamilies,siteFamiliesPresent,sourcePlacement,dPath,cleanedRecommendation,geographyRecommendation,refinedStatus
581,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; date/version metadata; download/source-file metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,"6. Environment, water, geology, protected sites, habitat and marine datasets",Open Data NI,spatial,1997 AP,CSV|GEOJSON|HTML|JSON|KML|SHP,0.44,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.44) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.44) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.44),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../1997-ap2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
582,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,2003 Ortho OSNI,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2003-ortho-osni2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
583,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,2004 Ortho OSNI,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2004-ortho-osni2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
584,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,2005 Ortho OSNI,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2005-ortho-osni2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
585,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,2006 Ortho OSNI,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2006-ortho-osni2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
586,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,2007 Ortho OSNI,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2007-ortho-osni2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
587,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,2008 Ortho OSNI,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2008-ortho-osni2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
588,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,2009 Ortho OSNI,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2009-ortho-osni2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
589,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,2012 Ortho OSNI,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2012-ortho-osni2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
590,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,2014 Ortho OSNI,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2014-ortho-osni2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
591,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,2016 Ortho OSNI,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2016-ortho-osni2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
592,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,2017 Ortho OSNI,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2017-ortho-osni2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
593,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; date/version metadata; download/source-file metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,"6. Environment, water, geology, protected sites, habitat and marine datasets",Open Data NI,spatial,2018 AP,CSV|GEOJSON|HTML|JSON|KML|SHP,0.44,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.44) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.44) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.44),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2018-ap2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
594,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,2019 Ortho OSNI,CSV|GEOJSON|HTML|JSON|KML|SHP,0.45,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.45) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.45) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.45),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2019-ortho-osni2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
595,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,2020 Ortho OSNI,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2020-ortho-osni2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
596,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; date/version metadata; download/source-file metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,"6. Environment, water, geology, protected sites, habitat and marine datasets",Open Data NI,spatial,2021 NI Coastal Survey,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,rivers-water-flood;habitat-protected-sites,rivers-water-flood;habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../2021-ni-coastal-survey2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
597,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; download/source-file metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,"6. Environment, water, geology, protected sites, habitat and marine datasets",Open Data NI,spatial,Abstraction Licensing,CSV|GEOJSON|HTML|JSON|KML|SHP,0.40,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.40) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.40) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.40),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../abstraction-licensing1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
598,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,"6. Environment, water, geology, protected sites, habitat and marine datasets",Open Data NI,spatial,Activity Centre CCGBC,CSV|GEOJSON|HTML|JSON|KML|SHP,0.40,database-map:designated-aonb (Areas of Outstanding Natural Beauty (AONB); 0.40) | browse-feature:lgd-2012 (Local Government Districts 2012; 0.40) | browse-source:map-source:designated-aonb (Areas of Outstanding Natural Beauty (AONB) source files; 0.40),database-map:designated-aonb; browse-feature:lgd-2012; browse-source:map-source:designated-aonb,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../activity-centre-ccgbc1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
599,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; download/source-file metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,"6. Environment, water, geology, protected sites, habitat and marine datasets",Open Data NI,spatial,Agricultural Critical Risk Areas,CSV|GDB|GEOJSON|GPKG|HTML|JSON|KML|SHP|TXT|XLS,0.43,database-map:wq-agricultural-critical-risk (Agricultural Critical Risk Areas (DAERA); 0.43) | browse-map:wq-agricultural-critical-risk (Agricultural Critical Risk Areas (DAERA); 0.43) | browse-source:map-source:wq-agricultural-critical-risk (Agricultural Critical Risk Areas (DAERA) source files; 0.36),database-map:wq-agricultural-critical-risk; browse-map:wq-agricultural-critical-risk; browse-source:map-source:wq-agricultural-critical-risk,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../agricultural-critical-risk-areas2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
600,weak feature-family match,do not auto-enrich from feature-only fuzzy evidence,Needs stronger target evidence.,download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; scale/generalisation/edition metadata; source/provenance metadata,"6. Environment, water, geology, protected sites, habitat and marine datasets",Open Data NI,spatial,Antrim and Newtownabbey Borough Council Assets,SHP,0.67,browse-feature:lgd-1966 (Rural and Urban Districts 4 July 1966; 0.67) | browse-feature:admin-areas-1966-07-04 (Administrative Areas 4 July 1966; 0.67) | browse-feature:counties-county-boroughs-1915 (Counties and County Boroughs 1915; 0.67),browse-feature:lgd-1966; browse-feature:admin-areas-1966-07-04; browse-feature:counties-county-boroughs-1915,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../antrim-and-newtownabbey-borough-council-assets,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
601,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; download/source-file metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,"6. Environment, water, geology, protected sites, habitat and marine datasets",Open Data NI,spatial,Base of Lava Flow,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../base-of-lava-flow4,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
602,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; download/source-file metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,"6. Environment, water, geology, protected sites, habitat and marine datasets",Open Data NI,spatial,Base of Lava Flow,CSV|GEOJSON|HTML|JSON|KML|SHP,0.36,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.36) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.36) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.36),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../base-of-lava-flow5,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
603,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; download/source-file metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,"6. Environment, water, geology, protected sites, habitat and marine datasets",Open Data NI,spatial,Baseline Definition,CSV|GEOJSON|HTML|JSON|KML|SHP,0.40,database-map:ni-livestock-poultry (NI Poultry Holdings (April 2019); 0.40) | database-map:ni-livestock-porcine (NI Porcine (Pigs) Holdings (April 2019); 0.40) | database-map:ni-livestock-caprine (NI Caprine (Goats) Holdings (April 2019); 0.40),database-map:ni-livestock-poultry; database-map:ni-livestock-porcine; database-map:ni-livestock-caprine,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../baseline-definition2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
604,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,"6. Environment, water, geology, protected sites, habitat and marine datasets",Open Data NI,spatial,Beaches - CCGBC,CSV|GEOJSON|HTML|JSON|KML|SHP,0.44,database-map:designated-aonb (Areas of Outstanding Natural Beauty (AONB); 0.44) | browse-feature:lgd-2012 (Local Government Districts 2012; 0.44) | browse-source:map-source:designated-aonb (Areas of Outstanding Natural Beauty (AONB) source files; 0.44),database-map:designated-aonb; browse-feature:lgd-2012; browse-source:map-source:designated-aonb,habitat-protected-sites,habitat-protected-sites,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,.../beaches-ccgbc1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
